District,Ward,House_type,Legal,Floors,Bedrooms,Area,Price_per_m2,Total_Price_Billion
Đống Đa,Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,3.0,2.0,24.0,93.75,2.25
Ba Đình,Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,3.0,2.0,31.0,100.0,3.1
Thanh Xuân,Thượng Đình,"Nhà ngõ, hẻm",Dang_cap_nhat,5.0,4.0,35.0,102.86,3.6001
Hà Đông,Nguyễn Trãi,"Nhà mặt phố, mặt tiền",Đã có sổ,6.0,7.0,36.0,152.78,5.50008
Bắc Từ Liêm,Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,30.0,90.0,2.7
Hoàng Mai,Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,48.0,56.25,2.7
Hà Đông,Dương Nội,"Nhà ngõ, hẻm",Đã có sổ,3.0,3.0,33.0,28.79,0.95007
Thanh Xuân,Hạ Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,8.0,6.0,68.0,286.76,19.49968
Ba Đình,Thành Công,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,26.0,113.46,2.94996
Huyện Hoài Đức,Vân Canh,"Nhà ngõ, hẻm",Đã có sổ,3.0,2.0,33.0,46.61,1.5381299999999998
Tây Hồ,Thụy Khuê,"Nhà mặt phố, mặt tiền",Đã có sổ,4.0,5.0,185.0,200.0,37.0
Tây Hồ,,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,77.0,97.4,7.4998000000000005
Long Biên,Long Biên,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,37.0,110.81,4.09997
Long Biên,Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,35.0,68.0,2.38
Hà Đông,Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,3.0,42.0,133.33,5.5998600000000005
Hai Bà Trưng,Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,55.0,160.0,8.8
Đống Đa,Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,35.0,85.71,2.99985
Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,2.0,2.0,30.0,40.0,1.2
Hà Đông,Dương Nội,"Nhà ngõ, hẻm",Đã có sổ,3.0,2.0,30.0,40.27,1.2081000000000002
Hai Bà Trưng,Phố Huế,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,25.0,120.0,3.0
Ba Đình,Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,3.0,2.0,20.0,62.5,1.25
Hai Bà Trưng,Đồng Tâm,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,56.0,160.71,8.99976
Nam Từ Liêm,Xuân Phương,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,31.0,66.13,2.0500299999999996
Đống Đa,Phương Mai,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,63.0,87.3,5.499899999999999
Hoàng Mai,Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,6.0,60.0,125.0,7.5
Hai Bà Trưng,Phạm Đình Hổ,"Nhà ngõ, hẻm",Dang_cap_nhat,5.0,4.0,36.0,91.11,3.27996
Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,50.0,73.0,3.65
Hoàng Mai,Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,6.0,60.0,125.0,7.5
Hà Đông,Phú La,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,38.0,113.16,4.30008
Huyện Hoài Đức,La Phù,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,33.0,47.88,1.5800400000000001
Long Biên,Ngọc Lâm,"Nhà ngõ, hẻm",Đã có sổ,6.0,4.0,40.0,100.0,4.0
Đống Đa,Ngã Tư Sở,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,56.0,102.86,5.76016
Ba Đình,Liễu Giai,Nhà biệt thự,Đã có sổ,6.0,5.0,80.0,161.13,12.8904
Hà Đông,Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,38.0,113.16,4.30008
Đống Đa,Láng Thượng,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,5.0,62.0,207.9,12.889800000000001
Cầu Giấy,Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,40.0,102.5,4.1
Hoàng Mai,Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,4.0,4.0,40.0,50.0,2.0
Hoàng Mai,Thịnh Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,3.0,4.0,57.0,63.16,3.60012
Hà Đông,Kiến Hưng,"Nhà mặt phố, mặt tiền",Đã có sổ,5.0,3.0,33.0,65.15,2.1499500000000005
Hà Đông,Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,35.0,58.86,2.0601
Thanh Xuân,Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,32.0,85.94,2.75008
Hai Bà Trưng,Bạch Đằng,"Nhà mặt phố, mặt tiền",Đã có sổ,4.0,3.0,56.0,58.93,3.30008
Bắc Từ Liêm,Đông Ngạc,"Nhà ngõ, hẻm",Đã có sổ,4.0,5.0,30.0,77.33,2.3199
Đống Đa,Kim Liên,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,39.0,120.51,4.69989
Hai Bà Trưng,Minh Khai,"Nhà mặt phố, mặt tiền",Đã có sổ,6.0,10.0,61.0,85.25,5.20025
Cầu Giấy,Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,44.0,79.55,3.5002
Hai Bà Trưng,Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,35.0,75.71,2.64985
Tây Hồ,Xuân La,"Nhà mặt phố, mặt tiền",Đã có sổ,4.0,4.0,75.0,119.87,8.99025
Hà Đông,Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,33.0,63.33,2.08989
Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4.0,3.0,32.0,79.69,2.55008
Đống Đa,Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,34.0,111.76,3.79984
Thanh Xuân,Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,49.0,75.51,3.69999
Huyện Thanh Trì,Tam Hiệp,"Nhà ngõ, hẻm",Đã có sổ,3.0,3.0,40.0,40.0,1.6
Hai Bà Trưng,Đống Mác,"Nhà ngõ, hẻm",Đã có sổ,2.0,2.0,40.0,47.5,1.9
Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,2.0,2.0,33.0,74.24,2.4499199999999997
Hoàng Mai,Vĩnh Hưng,"Nhà ngõ, hẻm",Đã có sổ,5.0,3.0,35.0,77.14,2.6999
Huyện Thanh Trì,Tam Hiệp,"Nhà ngõ, hẻm",Đã có sổ,3.0,3.0,35.0,45.71,1.5998500000000002
Tây Hồ,Xuân La,"Nhà ngõ, hẻm",Đã có sổ,1.0,2.0,45.0,55.56,2.5002000000000004
Long Biên,Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,5.0,4.0,46.0,75.0,3.45
