District,Ward,House_type,Legal,Floors,Bedrooms,Area,Price_per_m2,Total_Price_Billion
8,59,0,0,5.0,6.0,40.0,90.0,3.6
2,20,1,0,1.0,4.0,120.0,58.33,6.999599999999999
1,1,0,0,5.0,3.0,40.0,87.5,3.5
0,57,0,0,5.0,4.0,35.0,102.86,3.6001
1,1,0,0,5.0,3.0,42.0,80.95,3.3999
9,62,1,0,5.0,3.0,35.0,145.71,5.09985
2,77,0,0,3.0,4.0,36.0,76.39,2.75004
1,25,0,0,5.0,3.0,35.0,88.57,3.0999499999999998
3,23,1,0,4.0,4.0,35.0,105.71,3.69985
2,73,1,0,3.0,4.0,40.0,97.5,3.9
3,9,0,0,3.0,3.0,32.0,93.75,3.0
2,10,0,0,4.0,3.0,33.0,78.79,2.60007
8,59,1,0,6.0,4.0,34.0,100.0,3.4
1,111,0,0,5.0,4.0,48.0,110.42,5.30016
10,51,1,0,4.0,2.0,57.0,61.4,3.4997999999999996
3,4,1,0,4.0,4.0,39.0,71.79,2.7998100000000004
3,116,3,0,5.0,3.0,33.0,77.27,2.5499099999999997
2,83,0,0,4.0,4.0,41.0,39.02,1.5998200000000002
3,47,0,0,5.0,3.0,33.0,95.45,3.14985
2,77,0,0,3.0,4.0,35.0,80.0,2.8
10,18,0,0,5.0,4.0,25.0,80.0,2.0
9,62,0,0,4.0,4.0,54.0,81.48,4.39992
0,22,1,0,5.0,3.0,45.0,78.89,3.55005
8,120,0,0,7.0,4.0,42.0,226.19,9.499979999999999
4,45,0,0,4.0,4.0,52.0,54.81,2.85012
4,121,0,0,5.0,3.0,31.0,63.87,1.97997
12,74,0,0,5.0,3.0,30.0,106.67,3.2001
12,65,0,0,5.0,7.0,45.0,82.22,3.6999
0,22,1,0,5.0,4.0,61.0,74.59,4.54999
2,83,0,0,4.0,3.0,31.0,45.16,1.3999599999999999
10,36,0,0,5.0,3.0,33.0,96.97,3.20001
3,4,0,0,5.0,6.0,46.0,65.22,3.00012
3,47,0,0,5.0,4.0,40.0,70.0,2.8
1,2,0,0,5.0,3.0,35.0,88.57,3.0999499999999998
3,47,0,0,5.0,3.0,33.0,100.0,3.3
8,59,1,0,6.0,4.0,35.0,94.29,3.30015
9,26,0,0,5.0,3.0,42.0,123.81,5.20002
6,27,0,0,5.0,3.0,33.0,84.85,2.8000499999999997
9,62,0,0,5.0,3.0,16.0,130.63,2.09008
8,59,1,0,3.0,3.0,113.0,141.59,15.99967
8,59,0,0,5.0,3.0,33.0,93.94,3.1000199999999998
6,99,0,0,5.0,4.0,47.0,63.83,3.0000099999999996
10,122,1,0,5.0,4.0,70.0,221.43,15.5001
2,73,1,0,3.0,4.0,83.0,91.57,7.6003099999999995
1,76,0,0,5.0,3.0,43.0,69.77,3.00011
3,123,0,0,4.0,4.0,48.0,67.71,3.25008
